#https://www.ssa.gov/pubs/EN-05-10070-1954.pdf
#
#Year,MaximumEarnings,IndexFactors
1955,4200,14.08
1956,4200,13.16
1957,4200,12.76
1958,4200,12.65
1959,4800,12.05
1960,4800,11.60
1961,4800,11.37
1962,4800,10.83
1963,4800,10.57
1964,4800,10.16
1965,4800,9.98
1966,6600,9.41
1967,6600,8.92
1968,7800,8.34
1969,7800,7.89
1970,7800,7.51
1971,7800,7.15
1972,9000,6.52
1973,10800,6.13
1974,13200,5.79
1975,14100,5.39
1976,15300,5.04
1977,16500,4.75
1978,17700,4.40
1979,22900,4.05
1980,25900,3.71
1981,29700,3.37
1982,32400,3.20
1983,35700,3.05
1984,37800,2.88
1985,39600,2.76
1986,42000,2.68
1987,43800,2.52
1988,45000,2.40
1989,48000,2.31
1990,51300,2.21
1991,53400,2.13
1992,55500,2.03
1993,57600,2.01
1994,60600,1.96
1995,61200,1.88
1996,62700,1.79
1997,65400,1.69
1998,68400,1.61
1999,72600,1.53
2000,76200,1.45
2001,80400,1.41
2002,84900,1.40
2003,87000,1.36
2004,87900,1.30
2005,90000,1.26
2006,94200,1.20
2007,97500,1.15
2008,102000,1.12
2009,106800,1.14
2010,106800,1.12
2011,106800,1.08
2012,110100,1.05
2013,113700,1.04
2014,117000,1.00
2015,118500,1.00
